CANAL,# CLIENTE,REGION
pyme,5055347,CIUDAD DE MEXICO
residencial,11739986,CIUDAD DE MEXICO
pyme,5051517,TAMAULIPAS
pyme,5039032,QUERETARO
residencial,11649207,QUERETARO
pyme,5048258,MEXICO
pyme,5048591,QUERETARO
RSJ,3033893,MEXICO
RSJ,3025347,CUIDAD DE MEXICO
pyme,5048605,QUERETARO
pyme,5046343,QUERETARO
residencial,1433257,QUERETARO
residencial,1883446,MICHOACAN DE OCAMPO
residencial,1152462,QUERETARO
REsidencial,11645696,QUERETARO
pyme,5048827,QUERETARO
residencial,11619586,QUERETARO
residencial,11221284,QUERETARO
REsidencial,11657309,QUERETARO
pyme,5037783,QUERETARO
REsidencial,11622623,QUERETARO
pyme yucatan,011-002,YUCATAN
PYME,5041833,CIUDAD DE MEXICO
REsidencial,11660096,CIUDAD DE MEXICO
REsidencial,11650759,QUERETARO
REsidencial,1801936,QUERETARO
pyme,5041611,QUERETARO
PYME,5049271,JALISCO
RESIDENCIAL,11376259,QUERETARO
PYME,5041486,QUERETARO
RESIDENCIAL,11663149,DURANGO
pyme,5045885,QUERETARO
RESIDENCIAL,11611815,SAN LUIS POTOSI
RESIDENCIAL,1746051,QUERETARO
RESIDENCIAL,11668672,QUERETARO
RESIDENCIAL,5033162,QUERETARO
RESIDENCIAL,11669796,TAMAULIPAS
RESIDENCIAL,11671362,MEXICO
RESIDENCIAL,11588687,QUERETARO
PYME,5034522,QUERETARO
Residencial,1350233,CIUDAD DE MEXICO
PYME,5030234,QUERETARO
PYME,5030345,QUERETARO
Residencial,11463777,QUERETARO
residencial,11312646,CIUDAD DE MEXICO
residencial,11403661,MEXICO
REsidencial,1961169,CIUDAD DE MEXICO
PYME,5030234,QUERETARO
PYME,5032149,QUERETARO
REsidencial,1322763,QUERETARO
PYME,5028002,QUERETARO
residencial,11476167,VERACRUZ DE IGNACIO DE LA LLAVE
REsidencial,11455231,QUERETARO
REsidencial,11417522,QUERETARO
pyme,5031580,QUERETARO
pyme,5032718,SAN LUIS POTOSI
pyme,5012559,CIUDAD DE MEXICO
residencial,11484949,MORELOS
pyme,5027086,QUERETARO
REsidencial,11487322,MEXICO
REsidencial,1436185,EL MARQUES
PYME,5023478,EL MARQUES
REsidencial,11484616,CIUDAD DE MEXICO
PYME,5032371,QUERETARO
PYME,5031469,QUERETARO
REsidencial,11488890,QUERETARO
REsidencial,11490123,QUERETARO
REsidencial,11480550,QUERETARO
PYME,5028668,CIUDAD DE MEXICO
REsidencial,11493842,QUERETARO
REsidencial,11495868,QUERETARO
REsidencial,11496090,NUEVO LEON
REsidencial,1279157,QUERETARO
REsidencial,11497672,QUERETARO
REsidencial,11497783,QUERETARO
REsidencial,11487211,COAHUILA DE ZARAGOZA
residencial,11486420,QUERETARO
REsidencial,11438236,CIUDAD DE MEXICO
PYME,5033384,QUERETARO
REsidencial,11502778,QUERETARO
PYME,5033495,MEXICO
REsidencial,1188031,QUERETARO
PYME,5030567,QUERETARO
REsidencial,11504027,CIUDAD DE MEXICO
REsidencial,11505720,TOLUCA
REsidencial,11507302,CIUDAD DE MEXICO
REsidencial,11507413,QUERETARO
REsidencial,11508079,CIUDAD DE MEXICO
PYME,5033953,MEXICO
PYME,5034064,QUERETARO
PYME,5029917,CIUDAD DE MEXICO
PYME,5033620,CIUDAD DE MEXICO
RESIDENCIAL,11401635,CIUDAD DE MEXICO
RESIDENCIAL,11441939,QUERETARO
RESIDENCIAL,11451512,VERACRUZ DE IGNACIO DE LA LLAVE
RESIDENCIAL,11491358,QUERETARO
PYME,5033273,QUERETARO
RESIDENCIAL,11501432,QUERETARO
RESIDENCIAL,11512351,VERACRUZ DE IGNACIO DE LA LLAVE
RESIDENCIAL,11512462,MEXICO
PYME,5034175,QUERETARO
RESIDENCIAL,11516292,CUIDAD DE MEXICO
RESIDENCIAL,11522035,CUIDAD DE MEXICO
PYME YUCATAN,011-001,YUCATAN
RESIDENCIAL,11524394,CIUDAD DE MEXICO
RESIDENCIAL,11348914,QUERETARO
RESIDENCIAL,11479442,QUERETARO
RESIDENCIAL,11488002,CIUDAD DE MEXICO
RESIDENCIAL,11505720,MEXICO
RESIDENCIAL,11529251,QUERETARO
RESIDENCIAL,11425055,QUERETARO
RESIDENCIAL,11176221,CIUDAD DE MEXICO
RESIDENCIAL,11533287,QUERETARO
PYME,5031025,QUERETARO
PYME,5032940,YUCATAN
pyme,5035535,QUERETARO
pyme,5035646,QUERETARO
RESIDENCIAL,11537797,QUERETARO
RESIDENCIAL,1494275,EL MARQUES
RESIDENCIAL,11382904,MEXICO
RESIDENCIAL,1755846,QUERETARO
PYME,5034286,QUERETARO
Residencial,11467274,SAN LUIS POTOSI
residencial,11540612,QUERETARO
residencial,11542291,EL MARQUES
Riviera Maya,RV00418,YUCATAN
Riviera Maya,RV00419,YUCATAN
Riviera Maya,RV00420,YUCATAN
Riviera Maya,RV00421,YUCATAN
Riviera Maya,RV00422,YUCATAN
pyme,5037006,QUERETARO
residencial,11545788,CIUDAD DE MEXICO
residencial,11546468,CIUDAD DE MEXICO
residencial,11396973,QUERETARO
PYME,5037672,CIUDAD DE MEXICO
residencial,11401746,QUERETARO
REsidencial,1262146,QUERETARO
residencial,11521702,QUERETARO
residencial,11031485,CORREGIDORA
residencial,11428108,CIUDAD DE MEXICO
residencial,11417522,QUERETARO
residencial,1681035,IZTACALCO
pyme,5037450,QUERETARO
residencial,11729969,QUERETARO
pyme,5038241,PEDRO ESCOBEDO
residencial,11555250,CIUDAD DE MEXICO
residencial,11555361,QUERETARO
PYME YUCATAN,011-003,MEXICO
REsidencial,11521702,MEXICO
residencial,11558289,ALVARO OBREGON
residencial,11035551,EL MARQUES
REsidencial,11561090,QUERETARO
pyme,5038574,QUERETARO
REsidencial,11509994,VERACRUZ DE IGNACIO DE LA LLAVE
residencial,11251460,MEXICO
residencial,11421669,MEXICO
